deal_id,opportunity_id,deal_type,buyer_company,supplier_company,buyer_name,buyer_am,supplier_name,supplier_am,supplier_user_id,deal_stage,buyer_country,supplier_country,buyer_region,supplier_region,deal_created_at,buyer_company_id,supplier_company_id,buyer_user_id,buyer_am_id,supplier_am_id,buyer_country_id,supplier_country_id,buyer_payment_term,supplier_payment_term,buyer_incoterms_name,supplier_incoterms_name,opportunity_source_name,sale_order_number,purchase_order_number,booked_tonnage,booked_buyer_price_per_ton,booked_supplier_price_per_ton,booked_gross_revenue,booked_material_cost,booked_supplier_fee_percent,booked_supplier_fee_euro,booked_gross_profit,booked_gross_profit_margin_percent,booked_truck_price,booked_total_trucks,booked_logistic_cost,booked_financing_cost,confirmed_tonnage,confirmed_gross_revenue,confirmed_gross_profit,confirmed_buyer_price_per_ton,confirmed_supplier_price_per_ton,confirmed_supplier_tonnage,confirmed_material_cost,confirmed_logistics_cost,confirmed_financing_cost,confirmed_supplier_fee,confirmed_gross_profit_margin
6576b8fd-2e8d-4154-a4d2-8396f4ead5fb,,agent,Company_1,Company_249,Allison Hill,AM_A,Denise Davenport,AM_A,ce5ce479-0556-4e8b-a853-256bde6fe14d,,Spain,Spain,Region_1,Region_1,2024-10-12 00:00:00.000000 UTC,cf23ca5f-8e39-4db8-8e7d-4d338dc333cb,ed294919-2214-4486-a29b-285483b4921f,2966306b-1d97-4573-9373-361c60023a4f,0338adfc-153d-44e1-8974-59509eba2c55,0338adfc-153d-44e1-8974-59509eba2c55,46548354-ed4c-4120-9471-c5d780f4c865,46548354-ed4c-4120-9471-c5d780f4c865,Immediate Payment,Immediate Payment,FCA,FCA,,,,16.400342354897905,434.72392350522887,,8382.283076160635,,,,137.8665271577295,1.64,,,,,16.39611927202037,8382.283076160635,137.8665271577295,,,,,,,,1.64
34ed0d0b-af94-47c5-a405-73f56d5d71ae,cae44c2f-b87d-4289-bcd8-ed5a22fa0bf5,trading,,,,,,,,Approved,,,,,2024-10-12 00:00:00.000000 UTC,,,,,,,,,,,,,S-2451-000445,,21.727761404905294,488.3494074902489,436.1539364114961,11141.681528471125,541.3839421025814,,0.0,357.0826479763157,3.2,786.5070984469602,1.0,,0.0,,,,,,,,,,,
284f00eb-f1f5-4b89-909e-874c063669e7,,agent,Company_2,Company_281,Noah Rhodes,AM_B,Amber Obrien,AM_B,0dbe8fd8-e7f5-4f40-b6ea-b98bfa0d769d,,Poland,Czech Republic,Region_2,Region_2,2020-05-25 00:00:00.000000 UTC,16278730-59b1-4b37-a031-d105bdbdffd9,34d4e059-0e96-44fe-94ee-ff0b886551a1,515781fe-2154-4b3d-9ff7-0b6d58b1f8b9,05c8d6dd-c2cf-4110-816b-0e23ddea7034,05c8d6dd-c2cf-4110-816b-0e23ddea7034,b1d5a806-d83a-49c9-b8bc-b5e8f3f74db9,8df63eb4-cd04-44b4-b4b3-1bd8af5cab88,Immediate Payment,Immediate Payment,FCA,FCA,,,,49.55787756784522,289.57761351910807,,16873.712705107788,,,,0.0,0.0,,,,,49.55787756784522,16873.712705107788,0.0,,,,,,,,0.0
0f4e1b59-7fc1-4010-9401-871055a80f0c,,agent,Company_3,Company_281,Angie Henderson,AM_A,Amber Obrien,AM_B,0dbe8fd8-e7f5-4f40-b6ea-b98bfa0d769d,,Czech Republic,Czech Republic,Region_2,Region_2,2020-05-25 00:00:00.000000 UTC,05a008da-bf33-4809-824e-2ae312e2312c,34d4e059-0e96-44fe-94ee-ff0b886551a1,,0338adfc-153d-44e1-8974-59509eba2c55,05c8d6dd-c2cf-4110-816b-0e23ddea7034,a91ce034-88b2-402e-a7a9-62392bf880ee,8df63eb4-cd04-44b4-b4b3-1bd8af5cab88,Immediate Payment,Immediate Payment,FCA,FCA,,,,49.040549915347476,296.72767805044407,,17107.661569268836,,,,0.0,0.0,,,,,49.040549915347476,17107.661569268836,0.0,,,,,,,,0.0
72f522c4-ffe2-4343-af40-c31ad1859255,,agent,Company_4,Company_281,Daniel Wagner,AM_C,Amber Obrien,AM_B,0dbe8fd8-e7f5-4f40-b6ea-b98bfa0d769d,,Slovenia,Czech Republic,Region_2,Region_2,2020-07-20 00:00:00.000000 UTC,17ca7e9f-6194-434c-b9b8-56e04597bb49,34d4e059-0e96-44fe-94ee-ff0b886551a1,23572804-c2ea-45b1-8db1-658dbdb8af9b,72746c74-a40b-4e27-b12b-edad4fd0a78e,05c8d6dd-c2cf-4110-816b-0e23ddea7034,422702ce-bdba-441f-9c31-4147fea9060a,8df63eb4-cd04-44b4-b4b3-1bd8af5cab88,Immediate Payment,Immediate Payment,FCA,FCA,,,,23.427552263112176,295.555067467305,,8142.157109971661,,,,0.0,0.0,,,,,23.427552263112176,8142.157109971661,0.0,,,,,,,,0.0
735568e6-a9b3-471b-878d-eb69db6e9154,,agent,Company_5,Company_282,Cristian Santos,AM_B,Tanner Mitchell DDS,AM_C,,,Turkey,Czech Republic,Region_3,Region_2,2020-08-10 00:00:00.000000 UTC,3fee302b-ac80-4a10-8e97-6605b57bfabc,5e80bb4e-f967-4221-92f2-8350bdece9ce,,05c8d6dd-c2cf-4110-816b-0e23ddea7034,72746c74-a40b-4e27-b12b-edad4fd0a78e,7f17df7c-10c4-4f0b-acbd-1e347c9c1c28,8df63eb4-cd04-44b4-b4b3-1bd8af5cab88,Immediate Payment,Immediate Payment,FCA,FCA,,,,23.997668451579077,216.64695529948082,,6112.7483399870625,,,,0.0,0.0,,,,,23.997668451579077,6112.7483399870625,0.0,,,,,,,,0.0
e780d16d-f054-4bed-a728-5b45c0a96f17,f3fd126a-ab22-4638-9f4d-790142516284,trading,Company_6,Company_283,Connie Lawrence,AM_D,Heather Fields,AM_D,e2188ebf-3d5f-4566-a26b-e72c0d9b6e5f,Pickup Completed,Germany,Germany,Region_4,Region_4,2022-09-13 00:00:00.000000 UTC,,16c81a78-69e1-412d-b945-582c3a15baf7,,b6c4e1f8-2767-48cc-89f2-9eadfa46bf91,b6c4e1f8-2767-48cc-89f2-9eadfa46bf91,,b88e6f10-9eba-42b5-bf68-b55b45d757df,30 Days,30 Days,EXW,,,,,16.179686274546825,347.6790379007444,296.91357972825875,6613.697114217196,5648.019038998252,,0.0,965.6869503655356,14.6,,,0.0,0.0,16.18496512814374,6613.697114217196,965.6780752189437,347.6790379007444,296.91357972825875,16.18496512814374,5648.019038998252,0.0,0.0,0.0,14.6
295d6bb7-6c3a-4910-8c2d-b3d0e2735fe3,e28d8595-4912-406a-8c4c-545844b4d129,trading,Company_7,Company_283,Abigail Shaffer,AM_D,Heather Fields,AM_D,e2188ebf-3d5f-4566-a26b-e72c0d9b6e5f,Pickup Completed,Germany,Germany,Region_4,Region_4,2022-10-10 00:00:00.000000 UTC,710761ea-4e32-4bca-85a0-4d026ccab5e6,16c81a78-69e1-412d-b945-582c3a15baf7,645422f1-d52c-4d81-9e31-723edd79eeb0,b6c4e1f8-2767-48cc-89f2-9eadfa46bf91,b6c4e1f8-2767-48cc-89f2-9eadfa46bf91,b88e6f10-9eba-42b5-bf68-b55b45d757df,b88e6f10-9eba-42b5-bf68-b55b45d757df,30 Days,30 Days,EXW,,,,,90.00023074453628,500.5045171935201,385.38847823901045,52959.952245792876,40779.159679201875,,0.0,12180.792566590999,23.0,,,0.0,0.0,90.00445382741383,52959.952245792876,12180.792566590999,500.5045171935201,385.38847823901045,90.00445382741383,40779.159679201875,0.0,0.0,0.0,23.0
c915f991-2d91-4203-b199-cd38aee897e4,c30b40cd-4fc1-4330-866c-261f17ee5361,trading,Company_8,Company_283,Gina Moore,AM_D,Heather Fields,AM_D,e2188ebf-3d5f-4566-a26b-e72c0d9b6e5f,Pickup Completed,Switzerland,Germany,Region_4,Region_4,2022-10-17 00:00:00.000000 UTC,2878703b-5f10-4a24-8da7-7a37d55c0bf0,16c81a78-69e1-412d-b945-582c3a15baf7,,b6c4e1f8-2767-48cc-89f2-9eadfa46bf91,b6c4e1f8-2767-48cc-89f2-9eadfa46bf91,20bf4b78-3f6a-496c-bf8b-2529081e3c92,b88e6f10-9eba-42b5-bf68-b55b45d757df,30 Days,30 Days,EXW,,,,,23.345202147000286,300.30271031611204,286.00258125344004,8242.384140433373,7849.889657555593,,0.0,392.49448287777966,4.76,,,0.0,0.0,23.34309060556152,8242.384140433373,392.49448287777966,300.30271031611204,286.00258125344004,23.34309060556152,7849.889657555593,0.0,0.0,0.0,4.76
6cf61dab-e2a6-4d7e-a382-b134a0f4c122,ba225511-d903-4cf0-8a46-3b99a39a7487,trading,Company_6,Company_283,Connie Lawrence,AM_D,Heather Fields,AM_D,e2188ebf-3d5f-4566-a26b-e72c0d9b6e5f,Pickup Completed,Germany,Germany,Region_4,Region_4,2022-11-07 00:00:00.000000 UTC,,16c81a78-69e1-412d-b945-582c3a15baf7,,b6c4e1f8-2767-48cc-89f2-9eadfa46bf91,b6c4e1f8-2767-48cc-89f2-9eadfa46bf91,,b88e6f10-9eba-42b5-bf68-b55b45d757df,30 Days,30 Days,EXW,,,,,24.57834234723981,353.92819430113207,321.75290391012004,10227.363926579192,9297.603569617446,,0.0,929.7603569617446,9.09,,,0.0,0.0,24.57834234723981,10227.363926579192,929.7603569617446,353.92819430113207,321.75290391012004,24.57834234723981,9297.603569617446,0.0,0.0,0.0,9.09
